"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP18157/2024-2025/169462-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Construction of Street by laying Interlock tiles From House of Jarnail Singh to house of Gurdas Singh via house of Jagseer Singh and house of Gagandeep Singh in Vill. Gurri Sangar Distt. Sri Muktsar Sahib","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","29-Jan-2026","285411"
"2","Normal/Others","WS/MP18157/2025-2026/181306-Purchase of mobile water tankers","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Provisioning of 5000Lt Water tank with fire extinguisher at Village Warring, Constituency Sri Muktsar sahib, Distt. Sri Muktsar Sahib","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","12-Jun-2025","250000"
"3","Normal/Others","WS/MP18157/2025-2026/188695-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Construction of Street by laying Interlock tiles From house of Kuldip Singh to house of Charan Singh in Vill. Pandori, Block Sudhar, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","23-Jul-2025","400000"
"4","Normal/Others","WS/MP18157/2024-2025/163203-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Provisioning of Multi Garden Gym Machines, Tube well vala Park, Main Dugri Road, Opp. Petrol Pump, Ward no-44, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","14-Aug-2025","399178"
"5","Normal/Others","WS/MP18157/2024-2025/163154-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Provisioning of Multi Garden Gym Machines in Park, Ward no-40, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","14-Aug-2025","399178"
"6","Normal/Others","WS/MP18157/2024-2025/163172-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Provisioning of Multi Garden Gym Machines, Pashuram Park, Ward no-50, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","14-Aug-2025","399178"
"7","Normal/Others","WS/MP18157/2024-2025/163170-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Provisioning of Multi Garden Gym Machines in Park, Ward no-30, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","14-Aug-2025","399178"
"8","Normal/Others","WS/MP18157/2024-2025/163181-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Provisioning of Multi Garden Gym Machines, 150gaj vala Park, Phase-2, Ward no-44, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","14-Aug-2025","399178"
"9","Normal/Others","WS/MP18157/2024-2025/163179-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Provisioning of Multi Garden Gym Machines, 125 gaj vala Park, Phase-2, Ward no-44, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","14-Aug-2025","399178"
"10","Normal/Others","WS/MP18157/2024-2025/163182-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Provisioning of Multi Garden Gym Machines, 150gaj vala Park, Back Side LIC Office, Phase-1, Dugri, Ward no-44, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","14-Aug-2025","399178"
"11","Normal/Others","WS/MP18157/2024-2025/163198-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Provisioning of Multi Garden Gym Machines, Park at LIG Flat Phase-1, Opp. Kohli Property Dealer, Ward no-44, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","14-Aug-2025","399178"
"12","Normal/Others","WS/MP18157/2024-2025/163206-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Provisioning of Multi Garden Gym Machines, Basant Park, Jaimal Road, Janta Nagar, Ward no-41, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","14-Aug-2025","399178"
"13","Normal/Others","WS/MP18157/2025-2026/187797-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Construction of Street by laying Interlock tiles From house of Aslam Ali to house of Manga in Village Motti Bagh, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","19-Nov-2025","319000"
"14","Normal/Others","WS/MP18157/2024-2025/172359-Security gates in streets/public place for safety purpose","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Installation of Convex Mirrors in Village Bhattian Bet, Block              Ludhiana-1, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","27-Jan-2026","250000"
"15","Normal/Others","WS/MP18157/2024-2025/172297-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Provisioning of Indoor Gym Machines in Village Bodalwala, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","12-Aug-2025","200000"
"16","Repair and Renovation","WS/MP18157/2025-2026/198805-Construction of rooms and halls in school and colleges","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Repair and Renovation Of U14 Hockey wing, Boys Hostel in Shaheed Sardar Harbhajan Singh Govt. High School, Vill. Chachrari, Block Sudhar, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","18-Nov-2025","300000"
"17","Normal/Others","WS/MP18157/2024-2025/163245- Laying of synthetic turfs for hockey and football","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Synthetic Badminton Court Mat, Mini Rose Garden, New Kidwai Nagar, Ward no-53, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","12-Aug-2025","250000"
"18","Normal/Others","WS/MP18157/2025-2026/188698-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Construction of prayer ground with Interlocking tiles In Govt. Primary School, Vill. Dhaipai, Block Pakhowal, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","17-Oct-2025","200000"
"19","Normal/Others","WS/MP18157/2025-2026/188773-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Provisioning of Indoor Gym Machines in Vill. Bassian Bet, Block Sidhwan Bet, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","11-Aug-2025","200000"
"20","Normal/Others","WS/MP18157/2025-2026/188771-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Construction of Street by laying Interlock tiles in Ward no.2, house of Gadila Singh to house of Late Chota Singh in Vill. Baddowal, Block Sudhar, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","11-Nov-2025","160000"
"21","Normal/Others","WS/MP18157/2025-2026/192014-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Construction of Street by laying Interlock tiles From house of Bikkar Singh to Park and house of Gurpreet Singh Gora to Main Road in Vill. Galib Khurd, Block Jagraon, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","12-Dec-2025","500000"
"22","Normal/Others","WS/MP18157/2025-2026/178652-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Provisioning of Multi Garden Gym Machines and Playground Swings at Rajan Dhani Kothi no.117, Sector-39A, Opp. Moti Nagar Police Station Back Side Govt. Collage, Ward no.19, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","29-Sep-2025","299236"
"23","Normal/Others","WS/MP18157/2025-2026/178650-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Provisioning of Multi Garden Gym Machines and Playground Swings at Park at Opp. House no.3146, Sector-32A, Ward no.19, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","29-Sep-2025","299236"
"24","Normal/Others","WS/MP18157/2025-2026/172343-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Installation of 30 Solar Lights in Village Umaidpur, Block Dehlon, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","14-Nov-2025","347460"
"25","Normal/Others","WS/MP18157/2025-2026/172345-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Installation of 17 Solar Lights in Village Rajapur Patti, Block Ludhiana-1, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","14-Nov-2025","196894"
"26","Normal/Others","WS/MP18157/2025-2026/172341-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Installation of 15 Solar Lights in Village Bains, Block Ludhiana-1, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","13-Nov-2025","150566"
"27","Normal/Others","WS/MP18157/2025-2026/172344-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Installation of 34 Solar Lights in Village Nishant Bagh Colony, Block Ludhiana-1, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","13-Nov-2025","393788"
"28","Normal/Others","WS/MP18157/2025-2026/188688-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Installation of Solar Lights In Vill. Phallewal, Block Pakhowal, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","13-Nov-2025","222699"
"29","Normal/Others","WS/MP18157/2025-2026/188689-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Installation of Solar Lights In Vill. Gure, Block Sidhwan Bet, Distt Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","13-Nov-2025","164094"
"30","Normal/Others","WS/MP18157/2025-2026/188690-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Installation of Solar Lights In Vill. Jodhan, Block Pakhowal, Distt Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","13-Nov-2025","492282"
"31","Normal/Others","WS/MP18157/2025-2026/188691-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Installation of Solar Lights In Vill. Mohi, Block Sudhar, Distt Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","13-Nov-2025","281304"
"32","Normal/Others","WS/MP18157/2025-2026/188692-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Installation of Solar Lights In Vill. Majri, Block Sidhwan Bet, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","13-Nov-2025","222699"
"33","Normal/Others","WS/MP18157/2025-2026/188693-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Installation of Solar Lights In Vill. Gorahur, Block Sidhwan Bet, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","13-Nov-2025","164094"
"34","Normal/Others","WS/MP18157/2025-2026/234835-Construction of public irrigation facilities","Punjab","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","PVC pipes and other material for flood protection work in water-logged area of Vill. Khuia Sarwar, Distt. Fazilka","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","23-Oct-2025","249623"
"35","Normal/Others","WS/MP18157/2025-2026/163208-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Provisioning of Multi Garden Gym Machines, Wine Wood Colony, Ishar Nagar, Ward no-34, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","04-Nov-2025","399178"
"36","Normal/Others","WS/MP18157/2024-2025/172494-Development of public parks","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Construction of Boundary Wall and fencing of Park in Village Dhandra, Block Ludhiana-1, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","05-Feb-2026","500000"
"37","Normal/Others","WS/MP18157/2025-2026/188772-Development of playfields and sports grounds","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Construction of New volleyball and new badminton court in Vill. Play Ground, Vill.  Gahor, Block Sudhar, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","29-Jan-2026","300000"
"38","Normal/Others","WS/MP18157/2025-2026/188766-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","RCC Sitting Bench In Vill. New Salempura, Block Sidhwan Bet, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","11-Dec-2025","84000"
"39","Normal/Others","WS/MP18157/2025-2026/188727-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","RCC Sitting Bench In Vill. Kot Umra, Block Sidhwan Bet, Distt. Ludhiana.","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","07-Jan-2026","165000"
"40","Normal/Others","WS/MP18157/2025-2026/188726-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","RCC Sitting Bench In Vill. Gorsian Khan Mohammad, Block Sidhwan Bet, Distt. Ludhiana.","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","07-Jan-2026","50000"
"41","Normal/Others","WS/MP18157/2025-2026/236878- Laying of synthetic turfs for hockey and football","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Synthetic Badminton Court Mat in Mini Rose Garden, New Kidwai Nagar, Ward no-53, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","12-Jan-2026","250000"
"42","Normal/Others","WS/MP18157/2025-2026/241195-Development of playground","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Construction work by laying interlock tiles in the playground In Govt. Sen. Sec, School, Vill. Bhutta, Block Dehlon, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","10-Mar-2026","500000"
"43","Normal/Others","WS/MP18157/2025-2026/236874-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Provisioning of Indoor Gym Machines in Village Hathur, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","29-Jan-2026","200000"
"44","Normal/Others","WS/MP18157/2025-2026/236875-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Provisioning of Indoor Gym Machines in Village Gagra, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","29-Jan-2026","200000"
"45","Normal/Others","WS/MP18157/2025-2026/188697-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Construction of Shelter at Shamshanghat, Vill. Hans Kalan, Block Sudhar, Distt. Ludhiana.","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","19-Mar-2026","200000"
"46","Normal/Others","WS/MP18157/2025-2026/198815-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Installation of Solar Lights in Village Majri, Block Sidhwan Bet, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","19-Mar-2026","105489"
