"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP18157/2025-2026/239322-Construction of community centers and community halls","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New Building of Baba Sahib Dr. Bhim Rao Ambedkar Bhawan, Vill. Mansuran, Block Ludhiana-1, Distt. Ludhiana","01-Oct-2025","1000000","24-Nov-2025"
"2","Trust and Society","WS/MP18157/2026-2027/269093-Construction of community centers and community halls","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Library Room in Baba Banda Singh Bahadur Charitable Trust, Vill. Raqba, Block Sudhar, Distt. Ludhiana","17-Feb-2026","500000","19-Jun-2026"
"3","Trust and Society","WS/MP18157/2026-2027/276323-Construction of community centers and community halls","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New Building In Shri Radhey Krishna Gaudham Trust (Regd.) Vill. Kaind, Block Ludhiana-1 Distt. Ludhiana","30-Mar-2026","500000","17-Jul-2026"
"4","Normal/Others","WS/MP18157/2026-2027/287244-Construction of community centers and community halls","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New Room In Community Centre in Village Chimna, Block Jagraon, Distt. Ludhiana","19-Jun-2026","500000","24-Aug-2026"
"5","Normal/Others","WS/MP18157/2025-2026/188709-Construction of public libraries and reading rooms","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New Library Room In Vill. Ratan, Block Pakhowal, Distt. Ludhiana","02-Apr-2025","200000","09-May-2025"
"6","Normal/Others","WS/MP18157/2025-2026/232169-Construction of public libraries and reading rooms","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New Library Room In Village Rattan, Block Pakhowal, Distt. Ludhiana","08-Sep-2025","200000","23-Dec-2025"
"7","Normal/Others","WS/MP18157/2025-2026/232171-Construction of public libraries and reading rooms","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New Library Room In Vill. Chokkar, Block Pakhowal, Distt. Ludhiana","08-Sep-2025","200000","23-Dec-2025"
"8","Normal/Others","WS/MP18157/2025-2026/198807-Construction of common work sheds/ common covered sitting area","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Shelter at SC Shamsham Ghat, Vill. Mullanpur, Block Sudhar, Distt. Ludhiana.","13-May-2025","400000","10-Jul-2025"
"9","Normal/Others","WS/MP18157/2025-2026/193158-Construction of common work sheds/ common covered sitting area","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Shelter at Shamshanghat, Vill. Bhaini Gujjran, Block Sidhwan Bet Distt. Ludhiana","22-Apr-2025","200000","08-May-2025"
"10","Normal/Others","WS/MP18157/2025-2026/198799-Construction of common work sheds/ common covered sitting area","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Shelter at Shamshanghat, Vill. Walipur Kalan, Block Sidhwan Bet, Distt. Ludhiana.","13-May-2025","300000","17-Oct-2025"
"11","Normal/Others","WS/MP18157/2025-2026/188716-Construction of common work sheds/ common covered sitting area","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Shelter at General Shamshanghat, Vill. Akkuwal, Block Sidhwan Bet, Distt. Ludhiana.","02-Apr-2025","200000","08-May-2025"
"12","Normal/Others","WS/MP18157/2025-2026/188765-Construction of common work sheds/ common covered sitting area","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Shelter at Shamshanghat, Vill. Bassian Bet, Block Sidhwant Bet, Distt. Ludhiana.","02-Apr-2025","400000","08-May-2025"
"13","Normal/Others","WS/MP18157/2025-2026/241177-Construction of common work sheds/ common covered sitting area","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Shelter In Cremation Ground, Vill. Allowal, Block Ludhiana-1, Distt. Ludhiana","09-Oct-2025","300000","24-Nov-2025"
"14","Normal/Others","WS/MP18157/2025-2026/232175-Construction of common work sheds/ common covered sitting area","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Shelter In SC Shamshan ghat, Vill. Mullanpur, Block Sudhar, Distt. Ludhiana","08-Sep-2025","200000","13-Nov-2025"
"15","Normal/Others","WS/MP18157/2026-2027/276294-Construction of common work sheds/ common covered sitting area","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Shelter in SC Shamshan Ghat In Vill. Malak, Block Jagraon, Distt. Ludhiana","27-Mar-2026","350000","11-Jun-2026"
"16","Normal/Others","WS/MP18157/2025-2026/241176-Construction of additional rooms and halls in the existing public and community building","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New Building of The Dolon Kalan Multipurpose CO-OP Agri. Society Ldh. In Vill. Dolon Kalan, Block Ludhiana-1, Distt. Ludhiana","09-Oct-2025","250000","24-Nov-2025"
"17","Normal/Others","WS/MP18157/2026-2027/260380-Construction of additional rooms and halls in the existing public and community building","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New Room In Shamshanghat, Ward no. 4, Halka East. Distt. Ludhiana","20-Jan-2026","400000","19-May-2026"
"18","Normal/Others","WS/MP18157/2025-2026/239566-Construction of additional rooms and halls in the existing public and community building","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New Shamshan Ghat Vill. Agwar Lopon Kalan, Block Jagraon, Distt. Ludhiana","03-Oct-2025","500000","26-Nov-2025"
"19","Normal/Others","WS/MP18157/2025-2026/239568-Construction of additional rooms and halls in the existing public and community building","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Repair of Chahal Patti Shamshan Ghat Vill. Galib Kalan, Block Jagraon, Distt. Ludhiana","03-Oct-2025","400000","26-Nov-2025"
"20","Normal/Others","WS/MP18157/2025-2026/241193-Construction of boundary walls of existing public and community buildings","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Boundary Wall of Kabristan in Vill. Lehra, Block Dehlon, Distt. Ludhiana","09-Oct-2025","200000","27-Nov-2025"
"21","Normal/Others","WS/MP18157/2025-2026/251110-Construction of boundary walls of existing public and community buildings","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of boundary wall of Kabristan in Vill. Ayali Kalan,Block Ludhiana-1, Distt. Ludhiana","28-Nov-2025","1000000","21-Jan-2026"
"22","Normal/Others","WS/MP18157/2025-2026/232178-Construction of boundary walls of existing public and community buildings","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of boundary wall of Community center, Vill. Pamali, Block Pakhowal, Distt. Ludhiana","08-Sep-2025","500000","24-Dec-2025"
"23","Normal/Others","WS/MP18157/2025-2026/188733-Construction of boundary walls of existing public and community buildings","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of Steel Fencing from School to Canal Bridge, Vill. Saholi, Block Pakhowal, Distt. Ludhiana.","02-Apr-2025","400000","09-May-2025"
"24","Normal/Others","WS/MP18157/2025-2026/188720-Construction of boundary walls of existing public and community buildings","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Boundary Wall of Shamshanghat, Vill. Walipur Khurd, Block Sidhwan Bet, Distt. Ludhiana.","02-Apr-2025","200000","08-May-2025"
"25","Normal/Others","WS/MP18157/2025-2026/188725-Construction of boundary walls of existing public and community buildings","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","of Shamshanghat, Vill. Gag Kalan, Block Sidhwan Bet, Distt. Ludhiana.","02-Apr-2025","200000","08-May-2025"
"26","Normal/Others","WS/MP18157/2024-2025/172354-Construction of boundary walls of existing public and community buildings","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Boundary Wall of Dharamshala in Village Talwandi Kalan, Block Ludhiana-1, Distt. Ludhiana","04-Feb-2025","200000","17-Mar-2025"
"27","Normal/Others","WS/MP18157/2025-2026/188699-Construction of buildings for community cultural activities","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction New Panchayat Ghar In Vill. Chhapar, Block Pakhowal, Distt. Ludhiana.","02-Apr-2025","500000","09-May-2025"
"28","Repair and Renovation","WS/MP18157/2025-2026/188768-Construction of buildings for community cultural activities","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Shelter and Repair of Cemented Platform (Sath) at Panchayat Ghar, Vill. Bhumal, Block Sidhwan Bet, Distt. Ludhiana.","02-Apr-2025","200000","08-May-2025"
"29","Repair and Renovation","WS/MP18157/2025-2026/198805-Construction of rooms and halls in school and colleges","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Repair and Renovation Of U14 Hockey wing, Boys Hostel in Shaheed Sardar Harbhajan Singh Govt. High School, Vill. Chachrari, Block Sudhar, Distt. Ludhiana","13-May-2025","300000","10-Jul-2025"
"30","Normal/Others","WS/MP18157/2026-2027/260459-Construction of rooms and halls in school and colleges","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New RoomIn Government Primary School, Ward no. 4, Halka East, Distt. Ludhiana","20-Jan-2026","400000","19-May-2026"
"31","Normal/Others","WS/MP18157/2026-2027/267806-Construction of rooms and halls in school and colleges","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New Room in U-17 Hockey wing (Boys) Hostel in Shaheed S. Harbhajan Singh Govt. High School, Vill. Chachrari, Block Sudhar, Distt. Ludhiana","17-Feb-2026","500000","06-Apr-2026"
"32","Normal/Others","WS/MP18157/2025-2026/241195-Development of playground","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction work by laying interlock tiles in the playground In Govt. Sen. Sec, School, Vill. Bhutta, Block Dehlon, Distt. Ludhiana","09-Oct-2025","500000","26-Nov-2025"
"33","Normal/Others","WS/MP18157/2024-2025/172488-Development of playground","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New Park in Front of Govt. Sen. Sec. School, Guram in Village Guram, Block Dehlon, Distt. Ludhiana","04-Feb-2025","500000","27-Mar-2025"
"34","Normal/Others","WS/MP18157/2024-2025/172081-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Room in Public Health Center Village Lamma, Distt. Ludhiana","04-Feb-2025","500000","27-Mar-2025"
"35","Trust and Society","WS/MP18157/2025-2026/197911-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of building of Eye Department, Patient Examining and Care Area in Christian Medical College. Ward no. 78   Distt. Ludhiana","08-May-2025","1000000","21-Jan-2026"
"36","Trust and Society","WS/MP18157/2026-2027/276288-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New Building In Ek Noor Neki da Hospital, Vill. Alamgir, Block Ludhiana-1 Distt. Ludhiana","27-Mar-2026","500000","23-Jun-2026"
"37","Normal/Others","WS/MP18157/2026-2027/276670-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provision of Solar Water Tubewell with Motor In Vill. Lohgarh, Block Pakhowal, Distt. Ludhiana","30-Mar-2026","400000","30-Jul-2026"
"38","Normal/Others","NA-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation 25 HP Water Borewell Pump in Street no. 01, Mohalla Kot Mangal Singh, Ward no. 43, Distt. Ludhiana","28-Jul-2026","1350000","NA"
"39","Normal/Others","WS/MP18157/2025-2026/252271-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation 25 HP Water Borewell Pump in 1000 Gaj Vala Park, near Lakkar Bazar, ward no. 90, Distt. Ludhiana","05-Dec-2025","1350000","09-Mar-2026"
"40","Normal/Others","WS/MP18157/2025-2026/252272-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation 12.50 HP Water Borewell Pump in Basant Nagar, Surinder Nagar, ward no. 88, Halka North, Distt. Ludhiana","05-Dec-2025","675000","17-Mar-2026"
"41","Normal/Others","WS/MP18157/2025-2026/252273-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation 12.50 HP Water Borewell Pump in Mohalla New Deep Nagar, ward no. 66, Halka North, Distt. Ludhiana","05-Dec-2025","675000","09-Mar-2026"
"42","Normal/Others","WS/MP18157/2025-2026/252284-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation 12.50 HP Water Borewell Pump in In Raghubir Park, Janjh Ghar, Halka North, ward no. 68, Distt. Ludhiana","05-Dec-2025","675000","09-Mar-2026"
"43","Normal/Others","WS/MP18157/2026-2027/260363-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation 12.50 HP Water Borewell Pump In Sherpur Khurd, ward no. 32, Halka South, Distt. Ludhiana","20-Jan-2026","655817","15-May-2026"
"44","Normal/Others","WS/MP18157/2026-2027/260364-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation 12.50 HP Water Borewell Pump In Street no. 4A, Parbhat Nagar, Ward no. 31, Halka South,  Distt. Ludhiana","20-Jan-2026","675000","07-Apr-2026"
"45","Normal/Others","WS/MP18157/2026-2027/260386-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","At near Manocha Chakki, Azad Nagar, Ward no. 52, Halka Atam Nagar, Distt. Ludhiana","20-Jan-2026","675000","23-Jul-2026"
"46","Normal/Others","WS/MP18157/2024-2025/163242-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation 25 HP Water Borewell Pump, Ward no-94, Distt. Ludhiana","02-Jan-2025","1249000","10-Mar-2025"
